Year,Road_width,Location_Access,Governmentrate,Inflation_rate,Commercial-rate,Area,Earthen,Pitch,Goreto,Gravelled,paved,Commercial,Residential,Kathmandu,Lalitpur,Places
4.666666667,4.304461942,10,2,0.093,6.75,3,1,0,0,0,0,0,1,1,0,Kathmandu
3.916666667,3.937007874,3,5.5,0.067,8,2.52,1,0,0,0,0,0,1,1,0,Kathmandu
1.083333333,3.937007874,10,1.75,0.0987,6.25,3.22,1,0,0,0,0,0,1,0,0,Bhaktapur
2.333333333,4.304461942,1,2.1,0.0904,5.25,3.81,1,0,0,0,0,0,1,1,0,Kathmandu
2.5,3.280839895,1.05,3.25,0.0904,10,2,1,0,0,0,0,1,0,1,0,Kathmandu
3.583333333,3.937007874,7.8,1.75,0.067,5,4,1,0,0,0,0,1,0,1,0,Kathmandu
1.916666667,3.280839895,25,0.9,0.0987,5,4,1,0,0,0,0,0,1,1,0,Kathmandu
1.416666667,4.593175853,2,4,0.0987,8.989876266,2.2225,0,1,0,0,0,0,1,1,0,Kathmandu
3.083333333,2.624671916,1,11,0.0721,15,1.33,1,0,0,0,0,1,0,1,0,Kathmandu
1.166666667,1.312335958,,0.44,0.0987,4.000502071,4.979375,0,0,1,0,0,0,1,1,0,Kathmandu
1.333333333,3.937007874,0.5,1,0.0987,4.752835821,4.1875,1,0,0,0,0,0,1,1,0,Kathmandu
2.166666667,3.937007874,3,3.25,0.0904,6.6,3,1,0,0,0,0,0,1,1,0,Kathmandu
1.583333333,1.312335958,0,0.5,0.0987,4.002025317,4.9375,0,0,1,0,0,0,1,1,0,Kathmandu
1.75,2.624671916,4,2.1,0.0987,5,3.92,1,0,0,0,0,0,1,1,0,Kathmandu
2.583333333,3.280839895,5,2,0.0904,5.5,3.55,1,0,0,0,0,0,1,0,0,Bhaktapur
3.666666667,4.304461942,10,4,0.0721,6.5,3,1,0,0,0,0,0,1,1,0,Kathmandu
1.333333333,2.624671916,0.5,7,0.0987,14.93537578,1.305625,0,0,0,0,1,0,1,1,0,Kathmandu
2.5,1.312335958,2,4,0.0904,5.5,3.54,0,0,1,0,0,0,1,1,0,Kathmandu
1.666666667,1.312335958,6,4.88,0.0987,7.985622593,2.434375,0,0,1,0,0,0,1,1,0,Kathmandu
2.833333333,3.280839895,2,13,0.0904,20,0.97,0,1,0,0,0,0,1,1,0,Kathmandu
2.333333333,1.968503937,2,0.5,0.0904,5,3.88,0,0,1,0,0,0,1,1,0,Kathmandu
3.416666667,2.624671916,20,3,0.0721,6,3.22,1,0,0,0,0,0,1,1,0,Kathmandu
1.5,4.265091864,3,2.1,0.0987,5.990697674,3.225,1,0,0,0,0,0,1,1,0,Kathmandu
1.583333333,3.937007874,10,1.2875,0.0987,4.996763754,3.8625,1,0,0,0,0,0,1,0,1,Lalitpur
1.916666667,1.312335958,4,4.1,0.0987,5.996497373,3.211875,0,0,1,0,0,0,1,1,0,Kathmandu
1.833333333,3.280839895,1.05,3.8,0.0987,7,2.75,1,0,0,0,0,1,0,1,0,Kathmandu
3.75,6.456692913,15,2,0.0721,5.5,3.5,1,0,0,0,0,0,1,1,0,Kathmandu
1.083333333,3.280839895,2.5,4.1,0.0987,5.5,3.5,1,0,0,0,0,0,1,1,0,Kathmandu
2.666666667,4.304461942,1.5,0.375,0.0904,4,4.81,1,0,0,0,0,0,1,0,1,Lalitpur
2.833333333,3.280839895,2,3,0.0904,6.25,3.06,0,0,0,1,0,0,1,1,0,Kathmandu
4.25,1.312335958,10,2.25,0.093,6,3.18,0,0,1,0,0,0,1,1,0,Kathmandu
4.583333333,4.304461942,20,3.75,0.093,6,3.15,0,1,0,0,0,0,1,0,0,Bhaktapur
