Date of Valuation,Base date,date(m),Year,Road_width,LocationAccess,Location_Access,Commercialprice,Commercial-price,Latitude,Longitude,Governmentrate,Commercial-rate,Area,Earthen,Pitch,Goreto,Gravelled,paved,Commercial,Residential,Rectangular,Trapezoidal,Irregular,Facilities,Commercial-rate,Government-rate,Location as per cadastralmap,,,Places
15-Feb,01/01/2012,37,3.083333333,3.937007874,500,5,12255000,122.55,27.665277,85.305673,6,19,6.45,0,1,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",1900000,600000,"360, Dhapasi - 6, Kathmandu",,,Kathmandu
09/03/2014,01/01/2012,32,2.666666667,11.83727034,500,5,12125000,121.25,FAILED,FAILED,3,5,24.25,0,1,0,0,0,0,1,0,0,1,0,500000,300000, Jitpur Fedi-9 khaKathmandu,,,Kathmandu
04/05/2015,01/01/2012,39,3.25,4.304461942,500,5,12120000,121.2,27.735325,85.30725,5,20,6.06,0,1,0,0,0,0,1,1,0,0,1,2000000,500000, 102-0945-17Gongabu-3Kathmandu,,,Kathmandu
01/19/2015,01/01/2012,36,3,4.304461942,105,1.05,12000000,120,27.698744,85.312168,13,50,2.4,0,1,0,0,0,1,0,0,0,1,1,5000000,1300000, 102-1107-09KMC-8 YaKathmandu,,,Kathmandu
03/04/2016,01/01/2012,50,4.166666667,4.304461942,1000,10,12000000,120,FAILED,FAILED,15,30,4,0,1,0,0,0,0,1,1,0,0,0,3000000,1500000, Bhimdhunga-3 KhaKathmandu,,,Kathmandu
09/05/2014,01/01/2012,32,2.666666667,11.83727034,100,1,12000000,120,27.698744,85.312168,15,30,4,0,1,0,0,0,1,0,0,0,1,1,3000000,1500000, 102-1067-13KMC-7 VaKathamandu,,,Kathmandu
03/04/2016,01/01/2012,50,4.166666667,4.304461942,1000,10,12000000,120,FAILED,FAILED,15,30,4,0,1,0,0,0,0,1,1,0,0,0,300000.01,1500000, Bhimdhunga-3 KhaKathmandu,,,Kathmandu
06/10/2016,01/01/2012,53,4.416666667,4.304461942,500,5,11965250,119.6525,27.709494,85.310075,3,4.75,25.19,1,0,0,0,0,0,1,0,0,1,0,475000,300000, Dharmasthali-9 ‘GhaftKathmandu,,,Kathmandu
11/12/2014,01/01/2012,34,2.833333333,10.49868766,150,1.5,11908000,119.08,27.735325,85.30725,6,20,5.954,0,1,0,0,0,1,0,1,0,0,1,2000000,600000, 102-0944-15Gongabu-3Kathmandu,,,Kathmandu
03/20/2014,01/01/2012,26,2.166666667,5.905511811,,,11866000,118.66,27.742318,85.314314,1.6,4.500023702,26.36875,1,0,0,0,0,0,1,,,," TEWS 
    ","4,50,000.00",160000,"manamaiju VDC-8 Gha, Kathmandu",,,Kathmandu
12/18/2012,01/01/2012,11,0.916666667,6.88976378,,,11840000,118.4,27.696787,85.352516,14,39.99155584,2.960625,0,1,0,0,0,1,0,,,," TEWS 
    ","40,00,000.00",1400000," KMC -8, Kathmandu",,,Kathmandu
12/03/2012,01/01/2012,11,0.916666667,5.249343832,150,1.5,11825000,118.25,27.666667,85.35,12,25.00330382,4.729375,0,1,0,0,0,1,0,,,," TEWS 
    ","25,00,000.00",1200000, Kathmandu -10,,,Kathmandu
12/14/2015,01/01/2012,47,3.916666667,7.532808399,1000,10,11752000,117.52,27.674113,85.335572,6,6.5,18.08,0,1,0,0,0,0,1,0,0,1,0,650000,600000, Balkumari-9 KaKathmandu,,,Kathmandu
16-May,01/01/2012,52,4.333333333,13.12335958,105,1.05,11750000,117.5,27.708777,85.32178,26,40,2.9375,0,1,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",4000000,2600000,"106,Kathmandu-4, Kathmandu",,,Kathmandu
03/26/2016,01/01/2012,50,4.166666667,8.608923885,700,7,11675000,116.75,27.698744,85.312168,12,25,4.67,0,1,0,0,0,0,1,1,0,0,1,2500000,1200000, 102-1149-16KMC-35Kathmandu,,,Kathmandu
03/19/2016,01/01/2012,50,4.166666667,7.532808399,105,1.05,11590000,115.9,27.731133,85.3578,3.3,9.5,12.2,1,0,0,0,0,0,1,0,0,1,1,950000,330000, 102-0948-13Kapan-4Kathmandu,,,Kathmandu
15-Dec,01/01/2012,47,3.916666667,5.249343832,1200,12,11550000,115.5,27.717538,85.30725,6,21,5.5,0,1,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",2100000,600000,"305,Lalitpur-5 Dha, Lalitpur",,,Lalitpur
12/10/2012,01/01/2012,11,0.916666667,4.593175853,200,2,11543000,115.43,27.731133,85.3578,3.3,6.99867369,16.493125,0,1,0,0,0,0,1,,,," TEWS 
    ","7,00,000.00",330000," Kapan - 3, Kathmandu",,,Kathmandu
15-Feb,01/01/2012,37,3.083333333,3.937007874,500,5,11400000,114,27.750099,85.311118,6,19,6,0,1,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",1900000,600000,"360,dhapasi-6,Kathmandu",,,Kathmandu
02/10/2014,01/01/2012,25,2.083333333,10.82677165,20,0.2,11400000,114,27.731133,85.3578,3.3,15.01234568,7.59375,0,1,0,0,0,0,1,,,," TEWS 
    ","15,00,000.00",330000," 102-0988-16, Kapan-3, Kathmandu",,,Kathmandu
03-Jun-14,01/01/2012,29,2.416666667,4.593175853,1200,12,11325000,113.25,27.750099,85.32178,0.26,3,37.75,0,0,1,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",300000,26000,"66,Sheshnarayan-9, Kathmandu",,,Kathmandu
12/10/2015,01/01/2012,47,3.916666667,4.304461942,500,5,11145000,111.45,27.698744,85.312168,11,15,7.43,1,0,0,0,0,1,0,1,0,0,1,1500000,1100000,  102-1029-02KMC-6Kathmandu,,,Kathmandu
15-Jul,01/01/2012,42,3.5,3.280839895,105,1.05,11050000,110.5,27.684162,85.345415,5,8,13.8125,1,0,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",800000,500000,"48,Khadka Bhadrakali - 1 , Kathmandu",,,Kathmandu
08/23/2016,01/01/2012,55,4.583333333,4.304461942,4000,40,11044500,110.445,27.707409,85.302692,0.5,5.55,19.9,1,0,0,0,0,0,1,0,1,0,0,555000,50000, Seshnarayan-4/KaKathmandu,,,Kathmandu
16-Apr,01/01/2012,51,4.25,3.937007874,130,1.3,10937500,109.375,27.660811,85.294248,25,14,7.8125,0,1,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",1400000,2500000,"197,Kathmandu-10, Kathmandu",,,Kathmandu
14-Nov-13,01/01/2012,22,1.833333333,19.68503937,105,1.05,10830000,108.3,27.717245,85.235831,1,6,18.05,0,1,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",600000,100000,"242,Dahachowk-3 , Kathmandu",,,Kathmandu
07/07/2015,01/01/2012,42,3.5,1.312335958,200,2,10827500,108.275,27.674523,85.245723,0.6,2.5,43.31,0,0,1,0,0,0,0,0,0,1,0,250000,60000,machhegaun-1 KhaKathmandu,,,Kathmandu
