Date of Valuation,Base date,date(m),Year,Road_width,LocationAccess,Location_Access,Commercialprice,Commercial-price,Latitude,Longitude,Governmentrate,Commercial-rate,Area,Earthen,Pitch,Goreto,Gravelled,paved,Commercial,Residential,Rectangular,Trapezoidal,Irregular,Facilities,Commercial-rate,Government-rate,Location as per cadastralmap,,,Places
09/17/2015,01/01/2012,44,3.666666667,3.280839895,1000,10,1752000,17.52,27.768045,85.312329,3,6,2.92,1,0,0,0,0,0,1,1,0,0,0,600000,300000, Futung-8Kathmandu,,,Kathmandu
02/15/2017,01/01/2012,61,5.083333333,6.456692913,100,1,1750000,17.5,FAILED,FAILED,1,2.5,7,0,1,0,0,0,0,1,0,1,0,1,250000,100000, Ralukadevi VDC-01Nuwakot,,,Nuwakot
10/07/2013,01/01/2012,21,1.75,2.624671916,400,4,1750000,17.5,FAILED,FAILED,2.1,5,3.5,1,0,0,0,0,0,1,,,,TEW,"5,00,000.00",210000,"mulpani-3kha, Kathmandu",,,Kathmandu
01/08/2012,01/01/2012,0,0,3.280839895,300,3,1750000,17.5,FAILED,FAILED,2,7,2.5,1,0,0,0,0,0,1,,,,TEW,"7,00,000.00",200000," Katunje-1kha-1, Bhaktapur",,,Bhaktapur
11/17/2013,01/01/2012,22,1.833333333,3.937007874,,,1750000,17.5,27.696331,85.480447,1.25,3.5,5,1,0,0,0,0,0,1,,,,TEW,"3,50,000.00",125000," Bageshwori-2 kha-2, Bhaktapur",,,Bhaktapur
09/01/2013,01/01/2012,20,1.666666667,3.937007874,1000,10,1749000,17.49,FAILED,FAILED,1.92,5.508661417,3.175,1,0,0,0,0,0,1,,,, TEW,"5,50,000.00",192000," Gokarneshwor-1ka, Kathmandu",,,Kathmandu
09/24/2016,01/01/2012,56,4.666666667,4.304461942,500,5,1748000,17.48,FAILED,FAILED,1.5,4,4.37,1,0,0,0,0,0,1,0,1,0,0,400000,150000, Dharmasthali-9 khaKathmandu,,,Kathmandu
12/05/2013,01/01/2012,23,1.916666667,3.937007874,500,5,1740000,17.4,27.699118,85.397174,1.25,4.35,4,1,0,0,0,0,0,1,,,,TEW,"4,35,000.00",125000," Nilbarahi-2, Bhaktapur",,,Bhaktapur
05/27/2014,01/01/2012,28,2.333333333,1.312335958,200,2,1736000,17.36,27.715031,85.435352,1.3,7,2.48,0,0,1,0,0,0,1,1,0,0,1,700000,130000, 102-1022-21Ichangunarayan-4 6Kathmandu,,,Kathmandu
04/21/2014,01/01/2012,27,2.25,0.984251969,120,1.2,1735500,17.355,27.698744,85.312168,3.4,6.5,2.67,0,0,1,0,0,0,1,0,0,1,1,650000,340000, 102-1103-14KMC-13Kathmandu,,,Kathmandu
09/13/2013,01/01/2012,20,1.666666667,3.280839895,700,7,1732000,17.32,27.731133,85.3578,3.3,5.50387289,3.146875,1,0,0,0,0,0,1,,,, TEW,"5,50,000.00",330000," 102-0948-22, Kapan-3, Kathmandu",,,Kathmandu
06/27/2013,01/01/2012,17,1.416666667,3.937007874,700,7,1708000,17.08,27.649658,85.325759,1.2875,6.980332056,2.446875,1,0,0,0,0,0,1,,,,TEW,"7,00,000.00",128750," Dhapakhel-1 Ga, Lalitpur",,,Lalitpur
07/01/2013,01/01/2012,18,1.5,2.624671916,200,2,1701000,17.01,27.721038,85.379901,3.65,6.978461539,2.4375,1,0,0,0,0,0,1,,,," TEWS 
    ","7,00,000.00",365000," 102-1069-16, Jorpati-3, Kathmandu",,,Kathmandu
18-Jan-16,01/01/2012,48,4,9.186351706,50,0.5,1700000,17,27.660213,FAILED,18,25,0.68,1,0,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",2500000,1800000,"51,Kathmandu-11 (gha), Babarmahal",,,Kathmandu
09/20/2016,01/01/2012,56,4.666666667,4.304461942,100,1,1690000,16.9,27.915743,85.140631,4.33125,5,3.38,1,0,0,0,0,1,0,1,0,0,0,500000,433125, 102-0490 Bidur-8Nuwakot,,,Nuwakot
02/04/2013,01/01/2012,13,1.083333333,4.593175853,1000,10,1688000,16.88,FAILED,FAILED,2.1,3.996448653,4.22375,1,0,0,0,0,0,1,,,,TEW,"4,00,000.00",210000,"mulpani - 9 cha, Kathmandu",,,Kathmandu
01/20/2016,01/01/2012,48,4,3.280839895,300,3,1687500,16.875,27.91167,85.142471,0.75,1.5,11.25,1,0,0,0,0,0,1,0,0,1,1,150000,75000, 102-0331Bidur-1Nuwakot,,,Nuwakot
04/21/2013,01/01/2012,15,1.25,1.312335958,200,2,1680000,16.8,27.731133,85.3578,5.5,6.981818182,2.40625,0,0,1,0,0,0,1,,,," TEWS 
    ","7,00,000.00",550000," 102-0987-25, Kapan-3, Kathmandu",,,Kathmandu
03/05/2013,01/01/2012,14,1.166666667,2.624671916,200,2,1664000,16.64,27.703872,85.380004,4.1,6.493658537,2.5625,1,0,0,0,0,0,1,,,," TEWS 
    ","6,50,000.00",410000," 102-1109-19, Gothatar-7, Kathmandu",,,Kathmandu
06/22/2015,01/01/2012,41,3.416666667,1.312335958,1000,10,1656000,16.56,27.656921,85.357548,0.625,4.5,3.68,0,0,1,0,0,1,0,1,0,0,0,450000,62500, Tikathali-8Lalitpur,,,Lalitpur
15-May,01/01/2012,40,3.333333333,3.280839895,300,3,1655000,16.55,FAILED,85.30725,2.0625,5,3.31,0,1,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",500000,206250,"1951,1955&1966,Tikathali-6, Lalitpur",,,Lalitpur
02/25/2014,01/01/2012,25,2.083333333,1.312335958,200,2,1650000,16.5,FAILED,FAILED,1.5,4.990548204,3.30625,0,0,1,0,0,0,1,,,,TEW,"5,00,000.00",150000," 102-1021-14, Ichankunarayan-2, Kathmandu",,,Kathmandu
08/14/2013,01/01/2012,19,1.583333333,1.312335958,200,2,1650000,16.5,FAILED,FAILED,0.8,5.5,3,0,0,1,0,0,0,1,,,, TEW,"5,50,000.00",80000," Chunikhel-1ka, Kathmandu",,,Kathmandu
03/22/2017,01/01/2012,62,5.166666667,4.304461942,100,1,1648250,16.4825,27.91167,85.142471,0.43312,4.75,3.47,1,0,0,0,0,0,1,0,1,0,1,475000,43312, 102-03-71 Bidur-1 Nuwakot,,,Nuwakot
06/18/2013,01/01/2012,17,1.416666667,15.7480315,200,2,1627000,16.27,FAILED,FAILED,1.13,6.749287011,2.410625,0,0,1,0,0,0,1,,,,TEW,"6,75,000.00",113000," Katunje-6ga, Bhaktapur",,,Bhaktapur
01/15/2013,01/01/2012,12,1,3.280839895,700,7,1625000,16.25,27.708777,85.314312,0.8,6.5,2.5,1,0,0,0,0,0,1,,,,TEW,"6,50,000.00",80000," Goldhunga - 1 kha, Kathmandu, Bagmati",,,Kathmandu
11/08/2013,01/01/2012,22,1.833333333,4.304461942,100,1,1617000,16.17,27.703872,85.380004,4.1,5.504680851,2.9375,0,0,1,0,0,0,1,,,,TEWS,"5,50,000.00",410000," 102-1109-20, Gothatar-7, Kathmandu",,,Kathmandu
02/09/2017,01/01/2012,61,5.083333333,4.304461942,200,2,1612500,16.125,27.943512,85.231484,0.1875,1.5,10.75,1,0,0,0,0,0,1,0,0,1,1,150000,18750, 102-0383 Kabilas-02Nuwakot,,,Nuwakot
06/01/2014,01/01/2012,29,2.416666667,2,1500,15,1602000,16.02,27.756036,85.33026,1,2.25,7.12,0,0,1,0,0,0,0,1,0,0,0,225000,100000, 102-0905-02 & 102-0865-22Tokha Sarswoti-789Kathmandu,,,Kathmandu
05/14/2015,01/01/2012,40,3.333333333,6.456692913,300,3,1600000,16,FAILED,FAILED,0.1375,0.5,32,1,0,0,0,0,0,1,0,0,1,0,50000,13750, Budsing-9 JhhaNuwakot,,,Nuwakot
03/25/2015,01/01/2012,38,3.166666667,8.530183727,100,1,1589700,15.897,27.875804,85.007753,0.1375,1.05,15.14,1,0,0,0,0,0,1,0,1,0,1,105000,13750, Taruka-1KaNuwakot,,,Nuwakot
10/27/2014,01/01/2012,33,2.75,2.624671916,200,2,1566500,15.665,27.663462,85.378207,3.25,6.5,2.41,0,0,0,1,0,0,1,0,1,0,0,650000,325000,Balkot-3Bhaktapur,,,Bhaktapur
02/22/2013,01/01/2012,13,1.083333333,4.593175853,,,1552000,15.52,FAILED,FAILED,1.8,3.994851995,3.885,0,1,0,0,0,0,1,,,,TEW,"4,00,000.00",180000," Chunikhel-1kha, Kathmandu",,,Kathmandu
08/02/2013,01/01/2012,19,1.583333333,3.280839895,3000,30,1552000,15.52,27.680814,85.394554,1.5,6.762527233,2.295,1,0,0,0,0,0,1,,,, TEW,"6,75,000.00",150000," Duwakot-3 ka, Bhaktapur",,,Bhaktapur
05/07/2013,01/01/2012,16,1.333333333,3.937007874,50,0.5,1552000,15.52,27.784741,85.300938,1.2,4.00516129,3.875,1,0,0,0,0,0,1,,,,TEW,"4,00,000.00",120000," Kavresthali-5 Gha, Kathmandu",,,Kathmandu
06/09/2013,01/01/2012,17,1.416666667,1.312335958,800,8,1546000,15.46,27.672193,85.38814,0.03,6.993076267,2.2107581,0,0,1,0,0,0,1,,,, TEW,22000,3000," 102-1189-06, madhyapur Thimi-15, Bhaktapur",,,Bhaktapur
10/08/2014,01/01/2012,33,2.75,3.280839895,250,2.5,1545000,15.45,27.733477,85.315052,3,7.5,2.06,1,0,0,0,0,0,1,1,0,0,0,750000,300000, Tokha Chandeshwori-2 KhaKathmandu,,,Kathmandu
02/21/2017,01/01/2012,61,5.083333333,4.304461942,105,1.05,1542000,15.42,27.715163,85.296202,1.5,6,2.57,0,0,0,1,0,0,0,0,1,0,1,600000,150000, Dharmasthali-2 kaKathmandu,,,Kathmandu
02/21/2016,01/01/2012,49,4.083333333,3.280839895,500,5,1536000,15.36,27.753291,85.313966,3,6,2.56,1,0,0,0,0,0,1,1,0,0,0,600000,300000, Futung-3 khaKathmandu,,,Kathmandu
12/13/2013,01/01/2012,23,1.916666667,3.937007874,200,2,1520000,15.2,FAILED,FAILED,2.1,4.003292181,3.796875,1,0,0,0,0,0,1,,,,TEW,"4,00,000.00",210000," Dachi (Thalidachi)-2ka, Kathmandu",,,Kathmandu
09/06/2015,01/01/2012,44,3.666666667,6.456692913,100,1,1512000,15.12,27.78902,85.331304,3,5.25,2.88,0,1,0,0,0,0,1,1,0,0,0,525000,300000, Jhhor-9 KaKathmandu,,,Kathmandu
04/10/2014,01/01/2012,27,2.25,0.984251969,300,3,1512000,15.12,27.698744,85.312168,4,5.593526012,2.703125,0,0,1,0,0,0,1,,,, TEW,"5,60,000.00",400000," 102-1188-11, KMC-35, Kathmandu",,,Kathmandu
01/19/2014,01/01/2012,24,2,5.905511811,1000,10,1505000,15.05,27.780104,85.282513,0.8,6.993900668,2.151875,0,0,0,1,0,0,1,,,,TEW,"7,00,000.00",80000," Goldhunga 3 Nga, Kathmandu",,,Kathmandu
06/17/2014,01/01/2012,29,2.416666667,1.312335958,300,3,1500000,15,27.698744,85.312168,7,12,1.25,0,0,1,0,0,0,1,0,0,1,1,1200000,700000, 102-1026-24/25KMC-5Kathmandu,,,Kathmandu
12/01/2014,01/01/2012,35,2.916666667,1.312335958,200,2,1500000,15,27.748989,85.311037,1,6,2.5,0,0,1,0,0,0,1,1,0,0,1,600000,100000,manamaiju-4Kathmandu,,,Kathmandu
09/05/2014,01/01/2012,32,2.666666667,3.280839895,150,1.5,1500000,15,27.745761,85.294248,3,5,3,1,0,0,0,0,0,1,1,0,0,0,500000,300000, Goldhunga-4 KaKathmandu,,,Kathmandu
09/09/2014,01/01/2012,32,2.666666667,1.312335958,200,2,1500000,15,27.71097,85.398858,2,5,3,0,0,1,0,0,0,1,1,0,0,0,500000,200000,mulpani-1GaKathmandu,,,Kathmandu
01/29/2015,01/01/2012,36,3,2.624671916,500,5,1500000,15,FAILED,FAILED,1,5,3,1,0,0,0,0,0,1,1,0,0,0,500000,100000, Imadol-8 Ka 1Lalitpur,,,Lalitpur
09/10/2015,01/01/2012,44,3.666666667,1.312335958,1000,10,1500000,15,27.694219,85.24896,1,5,3,0,0,1,0,0,0,1,1,0,0,0,500000,100000, Balambu-6kaKathmandu,,,Kathmandu
03/07/2015,01/01/2012,38,3.166666667,3.280839895,150,1.5,1500000,15,27.647502,85.364425,0.9375,5,3,1,0,0,0,0,0,1,1,0,0,0,500000,93750, Lubhu-7 KaLalitpur,,,Lalitpur
31-Jul-14,01/01/2012,30,2.5,6.56167979,600,6,1500000,15,27.78902,85.326165,0.5,2.5,6,1,0,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",250000,50000,"245, Bugmati-4 , Lalitpur",,,Lalitpur
01/01/2014,01/01/2012,24,2,4.304461942,1000,10,1500000,15,27.708394,85.311836,4.4,6,2.5,1,0,0,0,0,0,1,,,,TEW,"6,00,000.00",440000," 102-0948-12,mahankal-3, Kathmandu",,,Kathmandu
12/24/2013,01/01/2012,23,1.916666667,1.312335958,100,1,1500000,15,27.731133,85.3578,1.9,6,2.5,0,0,1,0,0,0,1,,,, TEW,"6,00,000.00",190000," 102-0989-01, Kapan-8, Kathmandu",,,Kathmandu
09/22/2013,01/01/2012,20,1.666666667,1.312335958,300,3,1500000,15,FAILED,FAILED,0.6,3,5,0,0,1,0,0,0,1,,,,TEW,"3,00,000.00",60000," Kavresthali-5nga, Kathmandu",,,Kathmandu
07/11/2014,01/01/2012,30,2.5,2.624671916,500,5,1491000,14.91,27.731133,85.3578,0.98,7,2.13,1,0,0,0,0,0,1,1,0,0,1,700000,98000, 102-0989-11Kapan-8Kathmandu,,,Kathmandu
07/11/2014,01/01/2012,30,2.5,2.624671916,500,5,1491000,14.91,27.69535,85.3578,0.98,7,2.13,1,0,0,0,0,0,1,1,0,0,1,700000,98000, 102-0989-11Kapan-8Kathmandu,,,Kathmandu
02/09/2017,01/01/2012,61,5.083333333,4.304461942,400,4,1488000,14.88,27.922834,85.310922,2,6,2.48,0,1,0,0,0,0,1,1,0,0,1,600000,2078125, 102-0303 Ganesthan-07Nuwakot,,,Nuwakot
10/22/2013,01/01/2012,21,1.75,1.312335958,2000,20,1487000,14.87,27.659036,85.35796,4.53125,3.498823529,4.25,0,0,1,0,0,0,1,,,,TEW,"3,50,000.00",453125," Tikathali-9, Lalitpur",,,Lalitpur
16-Jan,01/01/2012,48,4,2.952755906,500,5,1484375,14.84375,27.665277,85.32178,2.9,47.5,0.3125,1,0,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",475000,290000,"493,Dhapakhel-6 , Lalitpur",,,Lalitpur
02/06/2013,01/01/2012,13,1.083333333,3.937007874,700,7,1476000,14.76,27.749025,85.409357,1,3.995263069,3.694375,1,0,0,0,0,0,1,,,,TEW,"4,00,000.00",100000," Nayapati-2 Kha, Kathmandu",,,Kathmandu
12/14/2012,01/01/2012,11,0.916666667,0.984251969,1000,10,1472000,14.72,27.753134,85.315143,0.32,3.997962994,3.681875,0,0,1,0,0,0,1,,,,TEW,"4,00,000.00",32000," Futung -8, Kathmandu",,,Kathmandu
12/29/2013,01/01/2012,23,1.916666667,7.532808399,500,5,1470000,14.7,27.703872,85.380004,6.75,6.989598811,2.103125,0,1,0,0,0,0,1,,,,TEW,"7,00,000.00",675000," 102-1110-17, Gothatar-5, Kathmandu",,,Kathmandu
09/10/2015,01/01/2012,44,3.666666667,32.28346457,35,0.35,1462000,14.62,FAILED,FAILED,0.86625,4.25,3.44,1,0,0,0,0,0,1,1,0,0,1,425000,86625, Thansingh VDC-2Nuwakot,,,Nuwakot
16-Jul,01/01/2012,54,4.5,4.593175853,1000,10,1453125,14.53125,27.709217,85.345415,1.5,1.5,9.6875,1,0,0,0,0,0,1,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",150000,150000,"133,Macchegaun-9 , Kathmandu",,,Kathmandu
12/16/2016,01/01/2012,59,4.916666667,4.593175853,700,7,1446000,14.46,FAILED,FAILED,2.8,6,2.41,1,0,0,0,0,0,1,0,0,0,0,600000,280000, Sipadol-1 khaBhaktapur,,,Bhaktapur
06/01/2014,01/01/2012,29,2.416666667,6.456692913,1000,10,1415000,14.15,27.766342,85.331389,1.5,5,2.83,0,0,0,1,0,0,1,1,0,0,0,500000,150000, 102-0905-03Tokha Sarswoti-79Kathmandu,,,Kathmandu
01/25/2014,01/01/2012,24,2,3.937007874,500,5,1413610,14.1361,27.71887,85.310451,3,7.81,1.81,1,0,0,0,0,0,1,1,0,0,1,781000,300000, 102-0944-09Manamaiju-4Kathmandu,,,Kathmandu
02/20/2013,01/01/2012,13,1.083333333,3.937007874,250,2.5,1406250,14.0625,27.712927,85.351938,1,3.75,3.75,1,0,0,0,0,0,1,,,,TEW,"3,75,000.00",100000,"mahadev -2ftkaft, Kathmandu",,,Kathmandu
03/22/2017,01/01/2012,62,5.166666667,16.14173228,400,4,1400000,14,27.915743,85.140631,4.33125,7,2,0,1,0,0,0,1,0,0,1,0,1,700000,433125, 1020371 Bidur-1Nuwakot,,,Nuwakot
03/15/2016,01/01/2012,50,4.166666667,4.304461942,200,2,1400000,14,27.759813,85.28518,3,7,2,1,0,0,0,0,0,1,1,0,0,0,700000,300000, Goldhunga-4kaKathmandu,,,Kathmandu
27-Mar-14,01/01/2012,26,2.166666667,3.937007874,105,1.05,1400000,14,27.694394,85.21908,0.5,3.5,4,1,0,0,0,0,0,1,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",350000,50000,"201,Godamchour-1, , Lalitpur",,,Lalitpur
09/10/2014,01/01/2012,32,2.666666667,4.304461942,2000,20,1400000,14,27.666212,85.451265,0.45,2,7,0,0,1,0,0,0,1,0,0,1,0,200000,45000, Tathali-9 Jabhaktapur,,,Bhaktapur
05/14/2014,01/01/2012,28,2.333333333,6.456692913,100,1,1395000,13.95,FAILED,FAILED,1.44,3.75,3.72,0,1,0,0,0,0,1,1,0,0,0,375000,144000,machhegaun-4 KhaKathmandu,,,Kathmandu
04/13/2014,01/01/2012,27,2.25,1.312335958,1000,10,1389500,13.895,FAILED,FAILED,0.6,3.5,3.97,0,0,1,0,0,0,1,0,0,1,0,350000,60000, Kavresthali- 6 KhaKathmandu,,,Kathmandu
07/25/2013,01/01/2012,18,1.5,3.280839895,,0,1386000,13.86,FAILED,FAILED,1.6,5.5,2.52,1,0,0,0,0,0,1,,,,TEWS,"5,50,000.00",160000,"manamaiju-3ka, Kathmandu",,,Kathmandu
11/30/2014,01/01/2012,34,2.833333333,1.312335958,500,5,1375000,13.75,FAILED,FAILED,1.5,5.5,2.5,0,0,1,0,0,0,1,1,0,0,0,550000,150000, Dachhi-8GhaKathmandu,,,Kathmandu
16-Apr,01/01/2012,51,4.25,3.937007874,100,1,1375000,13.75,FAILED,85.312598,1,5.5,2.5,1,0,0,0,0,0,1,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",550000,100000,"367,Daha Chowk-4 , Kathmandu",,,Kathmandu
09/24/2015,01/01/2012,44,3.666666667,1.312335958,700,7,1375000,13.75,27.725368,85.286056,3,5,2.75,0,0,1,0,0,0,1,1,0,0,1,500000,300000, 102-1021-21Ichangunarayan-5Kathmandu,,,Kathmandu
15-Nov,01/01/2012,46,3.833333333,3.280839895,260,2.6,1375000,13.75,27.709217,85.311925,2.25,5,2.75,1,0,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",500000,225000,"1389,  Kirtipur-12, Kathmandu",,,Kathmandu
04/18/2016,01/01/2012,51,4.25,4.304461942,5000,50,1375000,13.75,27.802336,85.361795,1.44375,0.3125,44,1,0,0,0,0,0,1,0,0,0,0,31250,144375, 102-0608 Jiling-4Nuwakot,,,Nuwakot
06/26/2013,01/01/2012,17,1.416666667,2.624671916,30,0.3,1375000,13.75,27.724441,85.420409,2.1,5.5,2.5,1,0,0,0,0,0,1,,,,TEW,"5,50,000.00",210000,"mulpani-5 Gha, Kathmandu",,,Kathmandu
02/09/2014,01/01/2012,25,2.083333333,3.937007874,1000,10,1375000,13.75,FAILED,FAILED,1.92,5.5,2.5,1,0,0,0,0,0,1,,,,TEW,"5,50,000.00",192000," Gokarneshwor-1ka, Kathmandu",,,Kathmandu
04/25/2014,01/01/2012,27,2.25,4.304461942,700,7,1370250,13.7025,FAILED,FAILED,1.25,5.25,2.61,1,0,0,0,0,0,1,1,0,0,0,525000,125000, Nilbarahi-9 Ka-1Bhaktapur,,,Bhaktapur
11/23/2013,01/01/2012,22,1.833333333,3.937007874,,,1363000,13.63,27.749025,85.409357,1,4.757417103,2.865,1,0,0,0,0,0,1,,,,TEW,"4,75,000.00",100000," Nayapati-6 ka, Kathmandu",,,Kathmandu
02/12/2015,01/01/2012,37,3.083333333,2.624671916,1500,15,1360000,13.6,FAILED,FAILED,3,5,2.72,1,0,0,0,0,0,1,1,0,0,0,500000,300000, Goldhunga -5 Kha Kathmandu,,,Kathmandu
04/13/2014,01/01/2012,27,2.25,4.304461942,1500,15,1360000,13.6,FAILED,FAILED,0.64,4.25,3.2,1,0,0,0,0,0,1,1,0,0,1,425000,64000, Dharmasthali-5 KhaKathmandu,,,Kathmandu
04/29/2013,01/01/2012,15,1.25,1.312335958,200,2,1352000,13.52,FAILED,FAILED,0.2,0.8,16.9,0,0,1,0,0,0,1,,,,TEW,80000,20000," Sa. Sudal-1ka-2, Bhaktapur",,,Bhaktapur
26-Jun-14,01/01/2012,29,2.416666667,3.937007874,500,5,1350000,13.5,27.750099,FAILED,2.1,6,2.25,1,0,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",600000,210000,"165,dachi-8 , kathmandu",,,Kathmandu
08/19/2015,01/01/2012,43,3.583333333,3.280839895,200,2,1350000,13.5,27.669362,85.240023,1.5,5,2.7,1,0,0,0,0,0,1,1,0,0,0,500000,150000,matatirtha -1 kaKathmandu,,,Kathmandu
02/20/2016,01/01/2012,49,4.083333333,4.304461942,2000,20,1350000,13.5,FAILED,FAILED,1.1,4.5,3,1,0,0,0,0,0,1,1,0,0,0,450000,110000, Godamchoour-9kaLalitpur,,,Lalitpur
12/11/2015,01/01/2012,47,3.916666667,6.456692913,2500,25,1350000,13.5,27.793082,85.098757,1.44375,0.45,30,0,0,0,1,0,0,1,0,0,1,0,45000,144375, 102-0854Kumari-9Nuwakot,,,Nuwakot
03/10/2016,01/01/2012,50,4.166666667,1.312335958,500,5,1338000,13.38,27.725368,85.286056,2.25,6,2.23,1,0,0,0,0,0,1,1,0,0,0,600000,225000, 102-1021-14Ichangunarayan-2Kathmandu,,,Kathmandu
09/23/2012,01/01/2012,8,0.666666667,3.280839895,75,0.75,1337000,13.37,27.749025,85.409357,1,3.50343924,3.81625,1,0,0,0,0,0,1,,,, TEW,"3,50,000.00",100000," Nayapati - 5, Kathmandu",,,Kathmandu
05/27/2013,01/01/2012,16,1.333333333,1.312335958,200,2,1336500,13.365,27.72298,85.373062,2.45,5.507082153,2.426875,0,0,1,0,0,0,1,,,,TEWS,"5,50,000.00",245000," 102-0990-11/12, Jorpati-9,7, Kathmandu",,,Kathmandu
03/05/2013,01/01/2012,14,1.166666667,3.280839895,1000,10,1335000,13.35,FAILED,FAILED,1.25,4.997660271,2.67125,1,0,0,0,0,0,1,,,,TEW,"5,00,000.00",125000," Duwakot-5Kha-2, Bhaktapur",,,Bhaktapur
04/15/2015,01/01/2012,39,3.25,4.304461942,200,2,1326500,13.265,27.91167,85.142471,0.34375,3.5,3.79,1,0,0,0,0,0,1,1,0,0,1,350000,34375, 102-0371Bidur-1Nuwakot,,,Nuwakot
09/14/2015,01/01/2012,44,3.666666667,4.304461942,500,5,1324000,13.24,27.91167,85.142471,2,4,3.31,1,0,0,0,0,0,1,1,0,0,0,400000,200000, 102-03-71Bidur-1Nuwakot,,,Nuwakot
03/22/2017,01/01/2012,62,5.166666667,32.28346457,100,1,1323000,13.23,27.874362,85.263948,0.99625,2.25,5.88,0,0,1,0,0,1,0,0,1,0,1,225000,99625, 1020459- Thansin-5Nuwakot,,,Nuwakot
10/20/2013,01/01/2012,21,1.75,2.624671916,500,5,1323000,13.23,FAILED,FAILED,2.1,3.746548673,3.53125,1,0,0,0,0,0,1,,,,TEW,"3,75,000.00",210000," Dachi-9 kha, Kathmandu",,,Kathmandu
06/15/2016,01/01/2012,53,4.416666667,2.624671916,105,1.05,1300000,13,FAILED,FAILED,1.5,4,3.25,0,0,1,0,0,0,1,0,0,1,0,400000,150000, Danchi-6 ‘khaft-2Kathmandu,,,Kathmandu
08/28/2014,01/01/2012,31,2.583333333,3.280839895,5000,50,1298000,12.98,FAILED,FAILED,1.5,5.5,2.36,1,0,0,0,0,0,1,1,0,0,0,550000,150000, Duwakot-5Kha-2Bhaktapur,,,Bhaktapur
02/03/2013,01/01/2012,13,1.083333333,3.280839895,2000,20,1288000,12.88,27.735325,85.30725,4,3.994572592,3.224375,1,0,0,0,0,0,1,,,, TEWS,"4,00,000.00",400000," 102-0905-17, Gongabu-1,2, Kathmandu",,,Kathmandu
02/03/2013,01/01/2012,13,1.083333333,4.593175853,300,3,1288000,12.88,FAILED,FAILED,0.3,1.00038835,12.875,1,0,0,0,0,0,1,,,, TEW,"1,00,000.00",30000," Badbhanjang-1 Ga, Kathmandu",,,Kathmandu
03/14/2014,01/01/2012,26,2.166666667,3.937007874,1000,10,1281000,12.81,27.780104,85.282513,0.8,5.509677419,2.325,1,0,0,0,0,0,1,,,,TEW,"5,50,000.00",80000," Goldhunga-3 Nga, Kathmandu",,,Kathmandu
12/22/2013,01/01/2012,23,1.916666667,4.593175853,2500,25,1277000,12.77,27.716196,85.427801,0.5,0.874545221,14.601875,0,0,1,0,0,0,1,,,," TEWS 
    ",87500,50000," Changunarayan - 4 Kha, Bhaktapur",,,Bhaktapur
12/13/2014,01/01/2012,35,2.916666667,6.56167979,1500,15,1275000,12.75,27.750099,FAILED,0.35,1,12.75,1,0,0,0,0,0,1,0,0,1,0,100000,35000, Sokhel - 3 ka Kathmandu,,,Kathmandu
16-Jan,01/01/2012,48,4,3.280839895,13000,130,1268750,12.6875,27.742318,85.311925,3,7,1.8125,1,0,0,0,0,1,0,,,,"Office, Airport, School, Campus, Bus Park,market Other Vehicle etc. ",700000,300000,"1958,Tikathali-5, Lalitpur",,,Lalitpur
01/09/2014,01/01/2012,24,2,3.937007874,500,5,1267000,12.67,27.71887,85.310451,1.6,6.990344828,1.8125,1,0,0,0,0,0,1,,,," TEWS 
    ","7,00,000.00",160000," 102-0944-09,manamaiju-4, Kathmandu",,,Kathmandu
04/06/2015,01/01/2012,39,3.25,3.280839895,1000,10,1260000,12.6,27.780369,85.335218,3,3.6,3.5,1,0,0,0,0,0,1,0,0,0,0,360000,300000, Chandeshwori-8Kathmandu,,,Kathmandu
07/26/2013,01/01/2012,18,1.5,3.280839895,50,0.5,1260000,12.6,FAILED,FAILED,0.64,4.496988624,2.801875,1,0,0,0,0,0,1,,,,TEW,"4,50,000.00",64000," Dadapauwa Ramkot- 4l2l, Kathmandu",,,Kathmandu
08/16/2013,01/01/2012,19,1.583333333,1.312335958,500,5,1259000,12.59,27.731133,85.3578,0.98,5.500819225,2.28875,0,0,1,0,0,0,1,,,," TEWS 
    ","5,50,000.00",98000," 102-0989-11, Kapan-8, Kathmandu",,,Kathmandu
02/02/2015,01/01/2012,37,3.083333333,4.304461942,1000,10,1258000,12.58,27.761506,85.314406,1.5,4.25,2.96,1,0,0,0,0,0,1,1,0,0,0,425000,150000, Sangla-9 NaKathmandu,,,Kathmandu
09/11/2014,01/01/2012,32,2.666666667,3.280839895,1000,10,1256000,12.56,FAILED,FAILED,2.4,4,3.14,1,0,0,0,0,0,1,0,0,1,1,400000,240000, Sipadol-8 Kha 2Bhaktapur,,,Bhaktapur
